"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"dried mango","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","1K-5K","449","B09SLN3L77","B07FDV7Z5Z","7.04","0.07","0.20","0.00","27.25","0.00","7days"
"mango","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","1K-5K","450","B01ND1ED2D","B08XZLH675","10.60","0.00","0.00","0.00","0.00","0.00","7days"
"dry mango","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","1K-5K","501","B07Q6FV8WD","B0BDLH45TT","17.18","0.00","0.28","0.00","45.78","0.00","7days"
"dry mango slice","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","100-1K","1352","B08QD9XDCB","B0B75NSLT4","1.53","0.00","0.00","0.00","8.17","0.00","7days"
"dried mango slice","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","100-1K","1451","B00LPHGOE8","B08CHLTR72","1.30","0.00","0.17","0.00","24.28","0.00","7days"
"dehydrated mango","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","100-1K","2467","B00LPHGOE8","B0B75Q3L8R","3.84","0.00","0.00","0.00","0.00","0.00","7days"
"dry mango pieces","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","100-1K","4015","B0BDLH45TT","B0BDLH45TT","4.41","0.00","0.00","0.00","0.00","0.00","7days"
"dry fruit mango","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","1-100","5168","B095239L2Z","B08NCQGVCH","10.49","0.00","0.00","0.00","37.29","0.00","7days"
"mango dried","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","1-100","6623","B09SLN3L77","B07FF7L984","15.42","0.00","0.00","0.00","24.41","0.00","7days"
"dried mango without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","1-100","6655","B09SLN3L77","B0BGL5S8N9","11.68","1.14","0.81","0.00","30.39","0.00","7days"
"mango dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","1-100","7161","B07Q6FV8WD","B07FF7L984","11.53","0.00","0.00","0.00","33.33","0.00","7days"
"soft dried mango","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","1-100","12661","B08MCDJQC3","B07FF7L984","0.99","0.00","0.00","0.00","0.00","0.00","7days"
"mango dried slices","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","1-100","17230","B09H4C8SDZ","B07FF7L984","17.02","0.00","0.00","0.00","0.00","0.00","7days"
"frozen mango","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","1-100","17320","B08P4N8THS","B07FF7L984","16.10","0.00","0.00","0.00","0.00","0.00","7days"
