"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"brazil nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","10K-50K","34","B07QSH31HG","B014URMS0S","12.35","0.77","0.89","0.00","5.57","0.00","7days"
"hazelnut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","10K-50K","47","B01HNRWIXY","B08S7B6RJC","0.38","0.00","0.00","0.00","0.00","0.00","7days"
"hazel nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","1K-5K","184","B07175MW1C","B08S7B6RJC","0.49","0.05","0.04","0.00","0.23","0.00","7days"
"amla","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","1K-5K","203","B09P3Y261P","B015T0U58C","0.00","0.00","0.00","0.00","0.00","0.00","7days"
"brazilian nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","1K-5K","231","B07587K8RS","B0BBCKVLGQ","6.88","7.34","6.76","0.00","11.91","0.00","7days"
"hazelnuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","1K-5K","327","B01HNRWIXY","B08S7B6RJC","0.18","0.00","0.00","0.00","0.00","0.00","7days"
"brazil nuts 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","1K-5K","379","B08R5ZYMSM","B09F66X58Y","3.79","7.03","6.29","0.00","5.16","0.00","7days"
"brazil nut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","1K-5K","441","B07QSH31HG","B014URMS0S","7.43","0.08","0.07","0.00","5.70","0.00","7days"
"brazil nuts 250g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","100-1K","596","B08ZKS7NCZ","B014URMS0S","1.26","0.19","0.17","0.00","5.00","0.00","7days"
"hazlenut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","100-1K","623","B08Y77ZN5X","B08S7B6RJC","12.28","0.00","0.00","0.00","34.87","0.00","7days"
"hazelnuts 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","100-1K","974","B07RK4W4Q2","B08SHYHFF2","0.67","0.00","0.00","0.00","0.00","0.00","7days"
"brazil nuts 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","100-1K","1008","B07QGZX1S6","B09F66X58Y","7.31","0.00","0.00","0.00","7.50","0.00","7days"
