"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"natureland almonds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16042","B07B9XH28R","B07B9XH28R","10.61","22.22","20.00","0.00","47.06","0.00","7days"
"amazon brand - vedaka garden cress seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16155","B082SWR3GS","B082SWR3GS","11.76","0.00","0.00","0.00","0.00","0.00","7days"
"almornd","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16183","B07JN5QNSK","B09M6RRYDM","10.87","0.00","0.00","0.00","0.00","0.00","7days"
"jumbo almonds 1kg pack","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16193","B07JN5QNSK","B0992KMQYL","13.30","45.95","36.73","0.00","57.14","0.00","7days"
"2 kg badam","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16196","B0B2DSSR13","B0992KMQYL","13.77","30.89","30.97","0.00","56.10","0.00","7days"
"almond house hyderabad sweets","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16237","B07JV9SWJ1","B09XWYZFWD","5.63","0.00","0.00","0.00","40.48","0.00","7days"
"almonds,walnuts,raisins dry fruits combo","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16243","B01LPYAB9O","B07BKRDDN4","10.71","0.00","0.00","0.00","27.59","0.00","7days"
"bbq almonds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16273","B09N7B3G2L","B07G4CRBKY","8.16","20.00","0.00","0.00","0.00","0.00","7days"
"badam sliced","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16309","B0B2MT8MXQ","B014USKG24","10.23","20.00","0.00","0.00","0.00","0.00","7days"
"badam salora","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16382","B084RR75Q5","B08ZJGSBS1","40.00","20.00","16.67","0.00","25.00","0.00","7days"
"kargi badam 1kg offers","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16399","B08ZJGSBS1","B0758D1ZJ9","17.39","40.00","0.00","0.00","0.00","0.00","7days"
"vedica almond","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1-100","16422","B0992KMQYL","B084884GKX","26.09","20.00","0.00","0.00","0.00","0.00","7days"
