"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"pista","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","50K-100K","11","B01LZ5DFW2","B01LZ5DFW2","27.09","37.27","35.22","16.37","50.11","61.30","7days"
"pista 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","10K-50K","24","B08487WD3J","B01LZ5DFW2","22.32","50.48","43.98","11.95","46.28","36.91","7days"
"pistachios","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","10K-50K","31","B01LZ5DFW2","B08487WD3J","27.03","41.58","38.73","18.13","54.93","25.71","7days"
"pista 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","10K-50K","56","B08ZD1DXKV","B08487WD3J","21.99","45.91","41.29","30.41","48.91","23.19","7days"
"pista 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","10K-50K","75","B06WLL7SFC","B01LZ5DFW2","22.05","65.30","57.55","21.07","57.87","59.69","7days"
"figs","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","5K-10K","100","B01LL2BK72","B0758D65V3","10.12","14.51","13.26","23.09","7.32","17.94","7days"
"strawberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","5K-10K","113","B01BLBNU4Y","B08M5SSBHQ","7.08","0.25","0.29","0.00","7.86","0.00","7days"
"fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","5K-10K","144","B0BHJDKLKK","B08P9SQ8RY","23.77","2.37","3.89","0.00","13.97","0.00","7days"
"pistachios 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","5K-10K","154","B08ZD1DXKV","B08487WD3J","21.88","40.43","37.16","18.41","56.38","27.89","7days"
"pistachio","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","165","B01LZ5DFW2","B08487WD3J","27.12","39.28","37.16","17.31","54.01","64.15","7days"
"anjir price 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","170","B0B34JTB6J","B0758D65V3","0.24","11.62","9.43","74.99","4.03","0.00","7days"
"kiwi","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","187","B07BG63MHG","B0BBH9L6Y9","4.62","0.00","0.00","0.00","5.85","0.00","7days"
"pistachios 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","213","B08487WD3J","B08487WD3J","23.30","46.30","42.32","13.92","60.36","21.24","7days"
"salted pistachios","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","236","B01LZ5DFW2","B01LZ5DFW2","20.68","36.96","37.73","28.31","51.70","116.54","7days"
"happilo pistachio","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","237","B01LZ5DFW2","B01LZ5DFW2","74.04","81.62","76.02","9.24","49.01","4.51","7days"
"salted pista","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","252","B01LZ5DFW2","B01LZ5DFW2","22.32","43.78","40.66","18.90","52.02","32.13","7days"
"pista dry fruits 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","254","B075Q57MHV","B08487WD3J","19.62","45.92","40.70","16.56","55.95","51.42","7days"
"dried figs","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","259","B08V6VXB7T","B0758D65V3","7.95","15.41","12.49","17.02","4.50","0.00","7days"
"pista 500gm fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","276","B08487WD3J","B01LZ5DFW2","34.03","53.62","53.46","7.85","56.13","24.15","7days"
"roasted pistachio","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","278","B01LZ5DFW2","B01LZ5DFW2","24.20","36.65","35.72","15.95","56.54","46.62","7days"
"figs dry fruits 1kg offer big size","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","285","B075MGMQY5","B099KGD1C2","1.29","7.35","5.57","24.41","5.38","0.00","7days"
"pista without shell","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","287","B0992MLYPH","B0992MLYPH","17.80","53.77","43.23","14.53","51.01","0.00","7days"
"sft dry fruits and nuts","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","336","B075X3N2W9","B09WRMXP9Z","9.57","10.26","8.60","0.00","21.18","0.00","7days"
"anjir price 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","363","B08VGH69BC","B0758D65V3","8.86","14.89","11.74","38.65","5.32","0.00","7days"
"unsalted pistachios","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","382","B0992MLYPH","B0992MLYPH","22.80","68.26","56.02","27.36","53.49","0.00","7days"
"wonderland dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","419","B082LZ563K","B09S125J4Y","13.17","14.29","11.12","0.00","36.31","25.47","7days"
"natraj dry fruits","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","461","B07JN5QNSK","B01LZ5DFW2","8.31","18.56","14.75","0.00","41.85","0.00","7days"
"pista unsalted","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","484","B0992MLYPH","B0992MLYPH","21.11","56.07","48.13","9.63","45.67","0.00","7days"
"anjir price 250g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","486","B0B7XKXKS3","B0758D65V3","1.83","14.25","11.58","35.60","4.90","0.00","7days"
"pista 1_kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","503","B07M9SJK8Q","B01LZ5DFW2","20.46","38.08","34.21","0.00","45.98","21.27","7days"
