"keyword","keywordType","category","subcategory","traffic","categoryRank","searchVolumeGrowthWOW","searchVolumeGrowthVsTrailing4WeekAvg","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"pista 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","697","4.19","-11.75","B0BFNLZBD3","B08487WD3J","20.62","59.05","51.34","13.01","55.92","172.71","7days"
"california pistachio","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","628","3.73","2.49","B01LZ5DFW2","B08487WD3J","20.59","39.04","36.25","25.52","58.45","19.03","7days"
"pista badam","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","591","3.50","11.53","B01LZ5DFW2","B01LZ5DFW2","21.00","6.68","6.02","0.00","30.79","10.87","7days"
"pista 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","10K-50K","22","3.10","1.28","B08487WD3J","B08487WD3J","19.85","53.74","47.83","12.71","41.53","22.12","7days"
"pista 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","10K-50K","64","2.88","-0.13","B01LZ5DFW2","B01LZ5DFW2","25.79","60.82","53.19","19.25","54.91","25.02","7days"
"pistachios 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","593","2.68","4.87","B01LZ5DFW2","B01LZ5DFW2","22.77","61.82","56.19","25.49","56.11","95.68","7days"
"pista 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","10K-50K","57","2.31","-5.71","B07M9SJK8Q","B08487WD3J","18.15","30.94","32.08","21.97","45.81","24.78","7days"
"roasted pista","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","396","2.13","5.09","B01LZ5DFW2","B08487WD3J","19.31","36.00","33.91","15.43","44.62","0.00","7days"
"salted pista","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","251","2.02","-6.12","B01LZ5DFW2","B08487WD3J","24.41","37.55","36.32","21.93","53.98","18.77","7days"
"pistachios 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","145","1.98","-1.05","B08ZD1DXKV","B08487WD3J","21.78","45.89","41.41","16.95","54.78","20.16","7days"
"anjeer happilo","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","1038","1.46","-0.67","B0758J61YD","B0758D65V3","65.93","4.12","3.04","6.02","45.18","7.67","7days"
"happilo almonds 200 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","1096","0.57","-37.66","B01LY6B08A","B08C8H968Z","75.02","57.81","55.18","28.43","59.63","0.00","7days"
"figs 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","968","0.50","-11.87","B075MGMQY5","B08NCQGVCH","0.53","4.24","3.70","0.00","3.51","0.00","7days"
"dry+fruits+pistachio","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","1280","0.38","-0.09","B01LZ5DFW2","B01LZ5DFW2","32.88","58.89","53.92","72.86","56.14","52.12","7days"
"chuhara dry fruits 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","1281","0.36","-0.89","B07P39BCWF","B08TBZGVZJ","9.92","16.80","15.63","64.58","41.47","0.00","7days"
"pistachio","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","1K-5K","143","0.16","-3.89","B01LZ5DFW2","B01LZ5DFW2","27.40","37.24","34.09","19.64","46.90","28.66","7days"
"happilo+dry+fruit","BRANDED","Grocery-Dried Fruits, Nuts & Seeds","Pistachios","100-1K","1387","12.72","55.59","B01LZ5DFW2","B0B4DPJ9C3","69.61","93.21","75.74","11.62","57.41","0.00","7days"
