"keyword","keywordType","category","subcategory","traffic","categoryRank","searchVolumeGrowthWOW","searchVolumeGrowthVsTrailing4WeekAvg","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"brazil+nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","100-1K","554","60.31","86.14","B07QSH31HG","B09F66X58Y","2.77","16.59","14.83","0.00","10.61","0.00","7days"
"brazil+nuts+1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","100-1K","955","43.09","84.13","B08X4TQP1Z","B08Y75C16G","2.26","18.36","16.72","0.00","10.90","0.00","7days"
"brazil nuts 250g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Hazelnuts","100-1K","560","12.73","13.00","B07QSH31HG","B0BBCKVLGQ","0.92","8.21","6.99","0.00","7.50","0.00","7days"
