"keyword","keywordType","category","subcategory","traffic","categoryRank","searchVolumeGrowthWOW","searchVolumeGrowthVsTrailing4WeekAvg","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"dried mango slice","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","100-1K","1351","24.12","33.95","B00LPHGOE8","B08CHLTR72","0.83","0.00","0.19","0.00","20.90","0.00","7days"
"mango","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","1K-5K","434","21.14","73.11","B01ND1ED2D","B08XZLH675","8.94","0.00","0.00","0.00","0.00","0.00","7days"
"dried mango","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mangos","1K-5K","435","3.69","-3.00","B09SLN3L77","B07FDV7Z5Z","6.39","0.00","0.09","0.00","25.38","0.00","7days"
