"keyword","keywordType","category","subcategory","traffic","categoryRank","searchVolumeGrowthWOW","searchVolumeGrowthVsTrailing4WeekAvg","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"berries mix","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","163","6.38","14.66","B01LXIWNMH","B07X7X8QH6","9.73","1.59","3.74","33.94","25.50","38.84","7days"
"cranberries dried without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","469","5.98","6.95","B08RS69XTJ","B07GR2G678","5.98","2.34","3.67","0.00","18.22","34.16","7days"
"dry fruits for cake making","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1749","4.39","24.26","B07SYLJFZ6","B09HTWBZ66","18.05","11.66","8.97","0.00","40.88","0.00","7days"
"dry blueberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","829","3.97","5.09","B01LYTOXJ1","B08RP86P5C","12.55","8.40","8.89","0.00","39.39","0.00","7days"
"mixed berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","268","3.22","6.70","B01LXIWNMH","B07X7X8QH6","10.37","24.42","22.07","120.90","26.27","77.54","7days"
"strawberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","822","3.15","6.74","B07BG51WR1","B08M5SSBHQ","21.11","5.78","6.87","5.35","44.58","0.00","7days"
"frozen strawberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1168","3.02","-3.35","B01MZF6ALC","B07TM3FWH3","14.66","0.29","0.72","0.00","43.63","0.00","7days"
"cranberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","264","2.88","0.43","B07512GYB9","B07GR2G678","11.34","4.02","5.02","0.00","36.83","26.99","7days"
"cranberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","10K-50K","70","2.73","3.32","B07512GYB9","B07GR2G678","9.85","3.91","4.60","2.63","23.44","95.30","7days"
"berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","5K-10K","97","2.53","-3.91","B01LXIWNMH","B07X7X8QH6","14.48","21.60","18.79","29.78","27.83","8.71","7days"
"cranberry dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","10K-50K","63","1.32","-1.11","B08RC79MN2","B07GQS1669","9.72","1.59","3.04","0.00","26.37","34.68","7days"
"berries mix without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","634","1.11","2.25","B09PJBJQN5","B07X7X8QH6","9.14","9.76","12.33","0.00","23.23","50.62","7days"
"frozen berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","391","0.99","-1.43","B08WLZFLXD","B07X7X8QH6","16.50","6.05","4.85","0.00","24.00","0.00","7days"
"dried blueberry without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","848","0.36","9.76","B08ZDDHWFT","B08ZDDHWFT","7.85","0.39","0.31","0.00","28.59","26.64","7days"
