"keyword","keywordType","category","subcategory","traffic","categoryRank","searchVolumeGrowthWOW","searchVolumeGrowthVsTrailing4WeekAvg","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"happilo sunflower seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","100-1K","1332","28.03","33.54","B07Q7KKYJV","B07Q7KKYJV","17.54","11.41","11.53","30.79","21.89","0.00","7days"
"sunflower seeds 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1K-5K","215","20.17","30.62","B08S3STLQH","B075T5C3WN","0.28","0.07","0.06","0.00","3.25","0.00","7days"
"roasted sunflower seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","100-1K","725","14.81","12.07","B013SUH4AC","B0BF5H81GV","7.15","1.62","1.40","0.00","18.62","0.00","7days"
"sunflower seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","5K-10K","105","6.14","-8.48","B01MAZ37UC","B06WWP5JRD","1.34","0.58","1.31","0.00","2.76","0.00","7days"
"roasted sunflower seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","100-1K","703","0.02","-2.15","B013SUH4AC","B0BF5DTPJK","4.36","0.17","0.29","0.00","6.75","0.00","7days"
