"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"cranberry dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","10K-50K","63","B08RC79MN2","B07GQS1669","9.72","1.59","3.04","0.00","26.37","34.68","7days"
"cranberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","10K-50K","70","B07512GYB9","B07GR2G678","9.85","3.91","4.60","2.63","23.44","95.30","7days"
"berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","5K-10K","97","B01LXIWNMH","B07X7X8QH6","14.48","21.60","18.79","29.78","27.83","8.71","7days"
"strawberry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","5K-10K","99","B07BG51WR1","B08M5SSBHQ","8.22","22.17","19.18","62.73","5.87","0.00","7days"
"berries mix","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","163","B01LXIWNMH","B07X7X8QH6","9.73","1.59","3.74","33.94","25.50","38.84","7days"
"dried berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","197","B01LXIWNMH","B07X7X8QH6","13.70","6.72","7.74","58.21","22.80","29.40","7days"
"cherry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","249","B09SLMC356","B08KXY4QBM","6.09","13.48","9.36","0.00","9.91","0.00","7days"
"cranberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","264","B07512GYB9","B07GR2G678","11.34","4.02","5.02","0.00","36.83","26.99","7days"
"mixed berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","268","B01LXIWNMH","B07X7X8QH6","10.37","24.42","22.07","120.90","26.27","77.54","7days"
"cranberry dry fruit without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","300","B08RC79MN2","B07GR2G678","4.19","0.65","0.90","0.00","19.46","33.92","7days"
"berry mix","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","314","B01LXIWNMH","B07X7X8QH6","8.62","9.29","10.59","56.28","29.24","33.53","7days"
"berry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","316","B01LXIWNMH","B07X7X8QH6","14.95","24.42","20.54","0.00","23.96","0.00","7days"
"dried cranberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","349","B07512GYB9","B07GR24VMV","10.34","2.90","3.83","0.00","29.13","0.00","7days"
"plum cake dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","369","B08QJ5XTKC","B07LFJY8FP","9.57","0.05","0.39","0.00","17.50","0.00","7days"
"frozen berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","391","B08WLZFLXD","B07X7X8QH6","16.50","6.05","4.85","0.00","24.00","0.00","7days"
"dried strawberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","413","B082DG752C","B08M5SSBHQ","13.77","8.95","8.19","0.00","37.24","0.00","7days"
"dry berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","416","B01LXIWNMH","B07X7X8QH6","17.31","14.49","13.36","43.41","39.48","30.71","7days"
"blue berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","424","B01MCVLVC7","B08X1XR72D","14.68","7.03","6.89","0.00","42.55","23.73","7days"
"dried cranberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","447","B07512GYB9","B07GR2G678","10.64","2.50","2.46","0.00","29.48","0.00","7days"
"mix berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","458","B07X7X8QH6","B09LD3ZB96","10.53","4.92","8.50","28.19","29.70","22.85","7days"
"cranberries dried without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","469","B08RS69XTJ","B07GR2G678","5.98","2.34","3.67","0.00","18.22","34.16","7days"
"dried cranberries without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","548","B08RS69XTJ","B07GR2G678","9.95","4.23","5.22","3.70","22.18","9.45","7days"
"berries mix without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","634","B09PJBJQN5","B07X7X8QH6","9.14","9.76","12.33","0.00","23.23","50.62","7days"
"dried cherry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","636","B08NJKZ811","B09419TH2B","14.38","4.66","5.18","0.00","45.77","13.78","7days"
"mulberry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","644","B08R15D9PZ","B09W52XJBH","12.67","3.48","3.19","0.00","7.21","0.00","7days"
"dehydrated fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","680","B08WPP66FX","B07GR24VMV","16.84","3.24","3.54","0.00","45.47","82.19","7days"
"canberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","700","B07512GYB9","B07GR2G678","9.39","10.75","9.36","0.00","27.83","0.00","7days"
"dry fruits for plum cake","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","754","B08QJ5XTKC","B07LFJY8FP","14.55","14.97","13.55","0.00","35.98","14.78","7days"
"dried berries without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","780","B07X7X8QH6","B07X7X8QH6","9.38","1.09","2.94","0.00","25.57","0.00","7days"
"canberrys","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","786","B07512GYB9","B07GR2G678","17.39","13.90","12.38","0.00","39.03","0.00","7days"
"dry cranberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","793","B08RC79MN2","B07GR2G678","15.80","2.64","3.74","0.00","46.36","0.00","7days"
"mixed berries dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","806","B01LXIWNMH","B09LD3ZB96","23.48","7.49","7.52","42.19","54.00","0.00","7days"
"strawberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","822","B07BG51WR1","B08M5SSBHQ","21.11","5.78","6.87","5.35","44.58","0.00","7days"
"black berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","823","B09MFQPH4Q","B07X7X8QH6","12.19","5.72","6.46","1.08","23.90","0.00","7days"
"dry blueberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","829","B01LYTOXJ1","B08RP86P5C","12.55","8.40","8.89","0.00","39.39","0.00","7days"
"dried blueberry without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","848","B08ZDDHWFT","B08ZDDHWFT","7.85","0.39","0.31","0.00","28.59","26.64","7days"
"frozen blueberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","859","B07TP8R5XF","B07TP8R5XF","17.76","6.07","6.27","0.00","38.21","0.00","7days"
"blackberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","915","B08Y5LPV22","B01LXIWNMH","6.69","8.46","7.27","0.00","40.47","0.00","7days"
"dried strawberries without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","934","B01MZF6ALC","B09SWWRG6V","11.77","1.78","3.50","0.00","26.01","0.00","7days"
"berries dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","937","B01LXIWNMH","B09LD3ZB96","14.84","7.91","10.20","14.72","36.84","0.00","7days"
"mix berries without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","952","B08WLZFLXD","B07X7X8QH6","8.57","14.60","15.00","0.00","32.05","51.85","7days"
"mixed berries without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","973","B08WLZFLXD","B07X7X8QH6","9.05","26.42","25.64","17.19","33.33","25.21","7days"
"strawberry fruits fresh to eat","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1025","B07BG51WR1","B0758J9P77","11.83","94.19","91.11","0.00","5.52","0.00","7days"
"cranberry dried","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1033","B07512GYB9","B07GR2G678","24.24","23.18","23.73","8.42","34.26","0.00","7days"
"dried fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1143","B09SLPNMYC","B099KNZ4QM","20.28","13.72","9.87","0.00","46.24","0.00","7days"
"rostaa dry fruits","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1157","B00OOHSTI0","B07WBY2FDQ","12.31","15.36","12.13","0.00","40.96","0.00","7days"
"frozen strawberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1168","B01MZF6ALC","B07TM3FWH3","14.66","0.29","0.72","0.00","43.63","0.00","7days"
"canberry fruits dry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1209","B08RC79MN2","B07GR2G678","10.30","0.00","0.00","0.00","0.00","0.00","7days"
"frozen berries for smoothies","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1251","B01LXIWNMH","B077FF8VGJ","14.60","11.30","8.54","0.00","19.74","2.84","7days"
"dried blackberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1264","B0BBXTK1SS","B07GR24VMV","13.01","2.05","1.79","0.00","50.89","0.00","7days"
"canbarriers fruit dry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1280","B07G4F87SP","B07GR24VMV","10.72","6.06","7.66","0.00","30.08","0.00","7days"
"dry berries mix without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1290","B09PJBJQN5","B081Z893TM","9.93","9.58","12.11","0.00","27.73","0.00","7days"
"frozen fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1298","B08LZ73CD9","B08LSDY5B5","16.56","24.35","20.93","0.00","52.35","0.00","7days"
"cranberries dried","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1343","B07512GYB9","B07GR2G678","9.88","4.24","5.58","0.00","34.29","0.00","7days"
