"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"anjeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","50K-100K","8","B0758D65V3","B0758D65V3","6.75","14.44","12.90","14.09","3.99","0.00","7days"
"figs dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","10K-50K","45","B08V6VXB7T","B0758D65V3","6.54","7.27","5.59","13.57","4.30","0.00","7days"
"fig","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","10K-50K","56","B01LL2BK72","B0758D65V3","13.55","15.90","13.79","16.96","12.95","15.33","7days"
"anjeer 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","5K-10K","88","B08V6VXB7T","B0758D65V3","7.84","11.90","9.72","23.86","2.79","0.00","7days"
"anjir","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1K-5K","169","B08V6VXB7T","B0758D65V3","19.69","15.49","13.37","18.97","23.80","0.00","7days"
"anjeer 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1K-5K","192","B01LL2BK72","B0758D65V3","13.22","13.85","10.94","60.85","3.41","0.00","7days"
"dry fig","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1K-5K","247","B01LL2BK72","B0758D65V3","10.29","14.97","13.52","17.93","9.59","0.00","7days"
"dried figs","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1K-5K","252","B08V6VXB7T","B0758D65V3","7.28","14.87","11.64","18.13","3.90","0.00","7days"
"anjeer dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1K-5K","274","B01LL2BK72","B0758D65V3","17.40","20.79","17.25","8.62","5.32","0.00","7days"
"anjeer in fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1K-5K","317","B0758D65V3","B0758D65V3","29.76","70.64","58.76","1.64","5.42","0.00","7days"
"happilo anjeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1K-5K","344","B0758D65V3","B0758D65V3","75.53","13.18","11.38","4.28","42.01","44.50","7days"
"dry figs 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","605","B0B63C615W","B077FZF336","9.51","15.32","12.20","0.00","5.38","0.00","7days"
"afghani anjeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","701","B0758D65V3","B0758D65V3","7.86","14.39","11.12","8.34","3.48","0.00","7days"
"carnival classic anjeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","807","B08XNVG77W","B08NCQGVCH","0.06","0.69","0.60","0.00","0.12","0.00","7days"
"tulsi anjeer","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","838","B01LL2BK72","B0758D65V3","11.02","11.91","10.19","14.29","2.71","0.00","7days"
"tulsi dry fruits","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","869","B011IMA5X0","B01LZ5DFW2","7.16","18.49","15.80","0.00","36.37","0.00","7days"
"figs dry fruits 250g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","873","B08V6VXB7T","B0758D65V3","7.45","14.96","14.15","18.20","7.18","0.00","7days"
"dried fig","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","945","B08V6VXB7T","B0758D65V3","9.43","12.76","11.04","10.32","6.05","0.00","7days"
"dry fruits anjeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1003","B08H2FHXQN","B0758D65V3","8.13","13.17","9.35","0.00","3.50","0.00","7days"
"fig dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1024","B08V6VXB7T","B0758D65V3","12.73","5.96","4.68","5.95","5.48","0.00","7days"
"anjeer dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1068","B0758D65V3","B0758D65V3","6.25","13.47","10.65","198.57","3.24","0.00","7days"
"carnival anjeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1113","B08XNVG77W","B08NCRNTZS","2.47","0.82","0.71","0.00","0.87","0.00","7days"
"organic anjeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1213","B08H2FHXQN","B0758D65V3","5.79","11.62","8.05","0.00","3.95","0.00","7days"
"anjeer 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1231","B01LL2BK72","B0758D65V3","22.22","20.43","14.88","2.58","5.90","0.00","7days"
"figs in fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1246","B0BGQ28B34","B0758D65V3","26.33","60.40","57.76","3.73","7.82","0.00","7days"
"dry anjeer 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1252","B08XK6B95Y","B077FF9J3C","9.67","13.77","10.44","12.25","3.34","0.00","7days"
"angeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1254","B0758D65V3","B0758D65V3","3.78","0.00","0.00","0.00","0.00","0.00","7days"
"happilo figs","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1445","B0758D65V3","B0758D65V3","75.41","13.61","11.22","6.05","38.87","13.19","7days"
"anjura dry fruits 250 gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1472","B08V6VXB7T","B0758D65V3","17.41","4.16","3.90","0.00","48.04","16.27","7days"
"dried figs 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1492","B0B63C615W","B09Q37GQCP","0.00","13.36","11.19","84.96","3.66","0.00","7days"
"अंजीर","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1521","B08V6VXB7T","B0758D65V3","5.63","10.94","9.29","0.00","2.05","0.00","7days"
"1kg anjeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1660","B075MGMQY5","B08FMD9HSH","2.95","4.24","3.98","0.00","0.83","0.00","7days"
"dried anjeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1731","B08V6VXB7T","B0758D65V3","5.15","13.90","12.12","17.09","4.46","0.00","7days"
"figs dry fruits 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1930","B08JJ5XBXF","B09411PM7Y","8.57","17.55","11.64","0.00","3.61","0.00","7days"
"anjeer dry fruits 1kg offer big size best quality","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1938","B08H2FHXQN","B0758D65V3","0.14","6.25","4.32","15.53","3.85","0.00","7days"
"anjeer dry fruits 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","1961","B092B74NN6","B0758D65V3","31.20","36.84","29.17","17.83","7.26","0.00","7days"
"anjeer big size","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","2012","B09BDBHJ3V","B013U6IJNU","2.84","11.79","10.03","0.00","2.86","0.00","7days"
"nutraj figs","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","2056","B013U6IJNU","B013U6IJNU","8.86","11.76","10.23","0.00","10.00","0.00","7days"
"injeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","2202","B01LL2BK72","B0758D65V3","6.56","0.00","0.00","0.00","0.00","0.00","7days"
"happilo fig","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","2213","B0758D65V3","B0758D65V3","39.58","11.48","9.51","11.76","39.42","7.52","7days"
"classic anjeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","2272","B08XNVG77W","B09Z2WP4Z6","0.06","0.00","0.00","0.00","0.00","0.00","7days"
"anjeer 100 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","2508","B09XJ28TC2","B0758D65V3","16.93","13.31","10.95","31.33","4.27","0.00","7days"
"fig 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","2552","B097GYKB64","B09TJMP82G","2.82","11.11","5.81","0.00","3.92","0.00","7days"
"athipazham","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","2587","B0758D65V3","B09TJMP82G","19.85","6.84","5.48","0.00","4.35","0.00","7days"
"organic figs","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","2856","B08H2FHXQN","B0758D65V3","6.16","8.98","6.69","20.28","5.29","0.00","7days"
