"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"tulsi anjeer","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","838","B01LL2BK72","B0758D65V3","11.02","11.91","10.19","14.29","2.71","0.00","7days"
"tulsi dry fruits","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","869","B011IMA5X0","B01LZ5DFW2","7.16","18.49","15.80","0.00","36.37","0.00","7days"
"nutraj figs","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","2056","B013U6IJNU","B013U6IJNU","8.86","11.76","10.23","0.00","10.00","0.00","7days"
"sft anjeer","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","2861","B075MG4687","B075MGMQY5","1.73","10.84","10.23","0.00","6.99","0.00","7days"
"organic figs dry fruits","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","3079","B09N2KQMPM","B08H2FHXQN","0.97","14.05","12.73","0.00","4.00","0.00","7days"
"sft anjeer 1kg","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","100-1K","3677","B075MG4687","B075MGMQY5","0.48","2.02","2.63","0.00","7.44","0.00","7days"
"tulsi anjeer 500 grams big size","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","4789","B01LL2BK72","B013U6IJNU","0.00","14.08","11.29","0.00","4.35","0.00","7days"
"sft dry fruits","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","4918","B075X3N2W9","B09JSBL8PS","16.19","3.60","3.86","0.00","16.33","0.00","7days"
"anjeer tulsi","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","5035","B01HBRBY86","B0758D65V3","15.77","15.79","12.00","0.00","6.98","0.00","7days"
"manna figs","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","5090","B07NRT36X5","B08H2FHXQN","5.85","12.71","11.69","0.00","8.40","0.00","7days"
"greenfinity anjeer","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","6460","B08V6VXB7T","B0758D65V3","0.16","9.00","8.33","0.00","8.99","0.00","7days"
"tulsi dry fig","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","10722","B01LL2BK72","B09DV68L1Z","6.47","12.20","12.24","0.00","0.00","0.00","7days"
"sft dried whole turkish figs whole fig fruit anjeer 400 gm","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","11023","B0BH2TSRQF","B08NCQGVCH","0.00","10.87","8.06","0.00","7.58","0.00","7days"
"tulsi dry fruits 1kg offer big size tulsi brand","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","12465","B01HBRBWHY","B09YNMK5S1","9.38","0.00","0.00","0.00","0.00","0.00","7days"
"nutraj figs 500gm","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","14110","B0BC9NFYTG","B09TJMP82G","4.44","13.33","13.16","0.00","0.00","0.00","7days"
"tulsi anjeer 1_kg","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","15309","B01LL2BK72","B09TJNFYQK","0.00","8.00","6.06","0.00","10.53","0.00","7days"
"tulsi afghani anjeer","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","15592","B01HBRBY86","B07MGXZ8S4","4.14","20.00","0.00","0.00","0.00","0.00","7days"
"dry fruit hub anjeer","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","16279","B0BK4XVQL8","B09QJZ5CQ1","0.00","12.50","0.00","0.00","0.00","0.00","7days"
"nutraj anjeer 500g offers low price","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","16882","B013U6IJNU","B0BL146MBD","4.64","11.54","7.89","0.00","8.11","0.00","7days"
"anjeer tulsi 500 gram","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","17212","B01LL2BK72","B0758D65V3","0.00","20.00","0.00","0.00","0.00","0.00","7days"
"nutraj dried fig anjeer 200g","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Anjeer (Figs)","1-100","17331","B077FZF336","B08ZDN6624","2.76","8.00","0.00","0.00","0.00","0.00","7days"
