"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"kiahmish","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7448","B06WVBRCJ4","B07GR3S1RR","19.26","0.00","0.00","0.00","0.00","0.00","7days"
"monaca dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7455","B075X2V9VB","B08RSL9582","10.09","8.11","6.98","0.00","38.54","0.00","7days"
"black grape","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7457","B08W461PXG","B0758J6W7D","18.98","9.84","11.69","0.00","40.00","0.00","7days"
"chironji 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7482","B08L4MNNVK","B078LJ7MKP","25.47","2.02","1.68","0.00","17.95","0.00","7days"
"किशमिश 1kg ऑफर","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7504","B08487YGZQ","B07GR82XJR","19.48","25.47","22.31","0.00","56.60","2.33","7days"
"munaka 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7516","B075X2V9VB","B07GR82XJR","9.34","0.00","0.00","0.00","0.00","0.00","7days"
"solimo raisins 250g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7518","B01LPYAB9O","B07RJXW87Z","27.69","35.71","0.00","0.00","0.00","0.00","7days"
"long raisins 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7531","B075Q5NCS6","B08PDDM6L6","19.93","62.50","56.25","0.00","58.06","0.00","7days"
"dry fruits raisins 250g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7546","B08NJKQC4C","B0758D1ZGX","23.90","56.00","39.02","0.00","51.85","0.00","7days"
"munnakha","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Raisins","1-100","7584","B08R8SSF3Z","B01LPYAB9O","10.20","0.00","0.00","0.00","0.00","0.00","7days"
