"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"dry prunes","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","1575","B00RTBV0R0","B07GQWRZKN","4.04","0.34","0.29","0.00","19.53","0.00","7days"
"goji berries organic","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","1762","B07D28NCZ5","B07D28NCZ5","3.72","0.27","0.22","0.00","13.32","0.00","7days"
"blueberries and cranberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","1912","B074CLXH91","B07GQS1669","9.60","16.36","12.92","0.00","41.40","0.00","7days"
"blue blueberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","2246","B08RP86P5C","B01AWJJ1Y4","7.97","15.86","14.84","0.00","26.33","0.00","7days"
"pitted prunes 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","2302","B098MFTTZ6","B01MUYB0XH","0.76","0.00","1.18","0.34","9.47","0.00","7days"
"dried kiwi dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","2413","B07Q8MPBHT","B0B3MYZ1YX","6.61","0.00","0.79","0.00","28.76","0.00","7days"
"blue berry fruit fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","2423","B01MCVLVC7","B01M0H3JVR","22.62","9.00","7.66","0.00","61.17","0.00","7days"
"happilo cranberries and blueberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","2443","B01LXIWNMH","B0758J9P5T","51.59","66.23","67.06","6.70","50.65","2.41","7days"
"happilo blueberry cranberry duet","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","2457","B09VL1LPH9","B0758J9P5T","50.94","71.30","68.33","10.45","67.54","21.25","7days"
"plum fruits fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","2640","B09T9GYCKP","B0B3135YSS","1.56","11.41","11.76","0.00","8.54","0.00","7days"
"prunes organic","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","2658","B07CQMKWD6","B08H2HK75G","1.34","0.00","0.00","0.00","20.93","0.00","7days"
"prunes without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","2833","B00OOHS0AC","B08H2HK75G","4.31","0.00","0.44","0.00","13.41","0.00","7days"
"blueberry 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","2877","B0BN6H5ZZ7","B0BC6FQDWB","4.56","1.38","1.41","0.00","30.45","0.00","7days"
"dried blue berries unsweetened","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","2960","B09B2C4HDC","B0BC6DMJM2","3.75","0.00","0.00","0.00","0.00","0.00","7days"
"organic cranberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","2967","B08RS69XTJ","B07GR2G678","2.88","3.03","5.13","0.00","22.50","0.00","7days"
"prunes 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","3013","B08WHJ5R7D","B09HPXHJMZ","1.04","0.00","0.00","0.00","13.25","0.00","7days"
"frozen+berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","3210","B08WLZFLXD","B07TM3FWH3","18.94","20.00","0.00","0.00","0.00","0.00","7days"
"dried prunes without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","3228","B08Y5ZKQRB","B08H2HK75G","1.96","0.71","0.63","0.00","23.38","0.00","7days"
"gojiberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","3275","B01HM9TMEG","B072LWD3B7","3.43","0.00","0.00","0.00","0.00","0.00","7days"
"organic prunes","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","100-1K","3312","B09GW9BDVT","B09HPXHJMZ","0.37","0.00","0.00","0.00","17.53","0.00","7days"
"dry kiwi 250 gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","3465","B09M9PVYDR","B0B4DRDVS4","7.90","10.71","10.98","0.00","33.90","0.00","7days"
"blueberry filling","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","3567","B0B1Q8VH7N","B0B6FC4P9Q","6.21","0.00","0.42","0.00","6.16","0.00","7days"
"organic berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","3716","B07ND8XXP8","B09N7C69KG","6.79","0.00","2.00","0.00","26.02","0.00","7days"
"blue berry fruit without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","3939","B07TP8R5XF","B0BC6DMJM2","17.82","0.00","0.00","0.00","45.21","0.00","7days"
"blueberry fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","4082","B0BC777WQC","B08ZDDHWFT","23.23","6.35","6.33","0.00","32.31","0.00","7days"
"dried plums prunes","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","4093","B07F3TGDJY","B07GQWRZKN","0.14","0.00","0.00","0.00","24.14","0.00","7days"
"goji berries organic 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","4203","B08Y8NTM5J","B07CMBNJ2L","2.40","0.00","0.00","0.00","5.98","0.00","7days"
"blueberry dry fruit 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","4351","B08WPT9DHB","B0BC6FQDWB","7.20","1.50","1.27","0.00","33.14","0.00","7days"
"true elements berries","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","4599","B08X1XR72D","B0783PW8R3","7.25","0.00","2.54","0.00","35.87","0.00","7days"
"prunes 1 kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","4620","B082DGL84Z","B01MUYB0XH","0.30","0.00","0.00","0.00","11.79","0.00","7days"
"fresh blueberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","4624","B01LYTOXJ1","B07GQWST7K","13.97","7.55","8.70","0.00","31.36","0.00","7days"
"kiwi dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","4668","B08NJKVW9S","B0B3MYZ1YX","6.97","1.57","1.32","0.00","26.45","0.00","7days"
"blue+blueberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","4687","B01AWJJ1Y4","B07GR82XK8","5.28","3.24","4.44","0.00","10.14","0.00","7days"
"candied orange peels for cakes","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","4725","B07JMDLP2F","B079QLDJT8","1.14","3.63","5.48","6.89","16.45","0.00","7days"
"dried kiwi without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","4776","B07Q8MPBHT","B0B4DRDVS4","4.50","2.60","2.41","0.00","25.93","0.00","7days"
"frozen blueberries for smoothies","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","4871","B08RP86P5C","B07ND8WC8M","12.35","1.25","1.19","0.00","20.79","0.00","7days"
"gojiberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","4953","B0714KWZ7P","B01HM9TJH6","2.84","0.00","0.00","0.00","0.00","0.00","7days"
"berry+","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","4960","B0BG98WBN3","B08M5SSBHQ","3.33","0.00","0.00","0.00","0.00","0.00","7days"
"berry combo pack","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","4965","B07PY8DNCY","B0BGBTTLLQ","8.70","0.00","0.00","0.00","24.14","0.00","7days"
"berries combo pack","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","4971","B07PY8DNCY","B07X7X8QH6","6.02","0.00","2.08","0.00","26.36","0.00","7days"
"golden berry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","5020","B07BFCTR5H","B07QZXPF9W","0.45","0.00","0.00","0.00","3.61","0.00","7days"
"blueberry frozen","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","5030","B07TP8R5XF","B07GR8MCNZ","13.68","12.20","9.68","10.92","33.33","0.00","7days"
"blueberry fruit fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","5111","B0758J9P5T","B01LYTOXJ1","22.00","13.21","12.40","0.00","56.52","0.00","7days"
"rum soaked dry fruits for plum cake","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","5139","B09RHLBVGD","B07X7X8QH6","3.85","1.54","7.75","0.00","17.69","0.00","7days"
"boyo blueberry","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","5477","B09B2C4HDC","B09SWYCHZL","5.28","0.00","0.00","0.00","0.00","0.00","7days"
"blue+blueberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","5527","B01AWJJ1Y4","B01AWJJ1Y4","5.10","0.00","0.00","0.00","0.00","0.00","7days"
"blueberrys","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","5558","B01MCVLVC7","B07QWZ8JVR","17.71","0.00","0.00","0.00","0.00","0.00","7days"
"plum cake dry fruits mix 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","5580","B08JZDG9CN","B09WRMXP9Z","2.00","2.17","2.65","0.00","32.93","0.00","7days"
"unsweetened blueberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","5608","B09B2C4HDC","B07GQWST7K","6.19","2.74","2.06","0.00","29.52","13.95","7days"
"prune dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","5630","B09GW9BDVT","B07GQWRZKN","3.46","0.00","0.00","0.00","0.00","0.00","7days"
"blueberry fresh fruit raw","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","5720","B07ZHB2DHQ","B09ZHZ7WKD","10.92","4.26","6.35","0.00","26.47","0.00","7days"
"blueberry dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","5946","B07GR2G678","B07GQWST7K","23.58","0.67","0.55","0.00","44.00","0.00","7days"
"dry blue berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","5969","B01MCVLVC7","B08X1XR72D","20.06","0.00","0.00","0.00","0.00","0.00","7days"
"plum cake dry fruits eggless","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","6079","B0B3135YSS","B0B3135YSS","1.03","2.82","2.37","0.00","18.42","0.00","7days"
"blue berrys in dryfruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","6142","B0BD4F2M75","B07GQWST7K","22.29","0.00","0.00","0.00","0.00","0.00","7days"
"black plum","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","6172","B09QGNF46V","B0B3135YSS","0.22","7.35","13.04","0.00","1.75","0.00","7days"
"happilo dry berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","6208","B01LWVFCMF","B01LXIWNMH","78.12","78.57","73.61","3.67","60.27","0.00","7days"
"wild blueberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","6516","B01DTCBZA4","B07GQWST7K","9.69","0.00","0.00","0.00","24.71","0.00","7days"
"dried goji berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","6652","B07D28NCZ5","B072LWD3B7","1.42","0.00","0.00","0.00","0.00","0.00","7days"
"dry plums","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","6664","B08NHNKX4G","B09NCXRLKD","1.57","0.00","0.00","0.00","9.46","0.00","7days"
"goji+berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","6738","B0714KWZ7P","B07GR8351K","0.54","0.00","0.00","0.00","0.00","0.00","7days"
"blueberry fresh fruits for eat","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","6828","B07GR2G678","B01LYTOXJ1","15.49","20.00","14.00","0.00","35.71","0.00","7days"
"cherries dried","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","7282","B09NYG1HWJ","B07QWXMPBK","18.49","28.57","31.25","0.00","0.00","0.00","7days"
"blue berrys","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","7362","B07GQWST7K","B0758JQHBL","18.18","18.56","17.82","0.00","47.96","0.00","7days"
"dry+blueberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","7431","B01LYTOXJ1","B0758JQHBL","19.10","16.00","0.00","0.00","0.00","0.00","7days"
"berries organic","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","7751","B099TF9TS2","B07GR8351K","4.47","0.00","0.00","0.00","0.00","0.00","7days"
"dry blueberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","7817","B01MCVLVC7","B07GR24VMZ","8.79","6.85","6.67","0.00","51.45","0.00","7days"
"dry blue berry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","7937","B01MCVLVC7","B07GR8MCNZ","14.29","0.00","0.00","0.00","0.00","0.00","7days"
"vedaka blueberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","8219","B07GQWST7K","B07GQWST7K","9.44","15.91","16.67","0.00","23.08","0.00","7days"
"prunes happilo","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","8485","B00RTBV0R0","B01LWVFCMF","23.78","18.42","12.96","3.32","33.33","0.00","7days"
"happilo blueberries dried","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","8622","B01LYTOXJ1","B0BC6FQDWB","59.57","13.21","12.28","0.00","64.71","6.83","7days"
"happilo prunes 200gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Blueberries","1-100","9068","B081Z7SPL1","B01LWVFCMF","11.45","13.64","10.00","0.00","46.51","0.00","7days"
