"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"dry fruits powder for adults","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","1061","B07D8R1VBB","B091FS3LTG","0.20","0.53","1.48","0.00","7.32","0.00","7days"
"dry kiwi fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","1082","B08NJKVW9S","B08SW7HGY9","8.75","5.18","6.21","2.25","32.15","0.00","7days"
"strawberry dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","1158","B07Q8MPFDK","B08M5SSBHQ","7.08","3.32","3.82","0.00","11.26","5.55","7days"
"jujube fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","1163","B07PH26F71","B09ZVFYP66","2.32","0.00","0.00","0.00","10.47","0.00","7days"
"fruits in fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","1191","B07BG7D7SC","B0758JN85Y","19.64","35.32","29.11","0.00","38.10","0.00","7days"
"amazon fresh fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","1243","B07GQW1HJC","B0B9L5YMY2","1.53","25.16","18.04","0.00","18.66","0.00","7days"
"frozen fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","1287","B08LZ73CD9","B07TP8R5XF","18.21","14.68","14.57","0.00","43.02","0.00","7days"
"dried orange slices","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","1299","B0B1F3BBZX","B0B1F3BBZX","4.39","1.35","1.46","0.00","24.56","0.00","7days"
"tooty fruity","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","1392","B0BLNDVY3M","B07NV1K5CR","9.99","0.00","0.00","0.00","64.91","0.00","7days"
"happilo figs","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","1461","B0758D65V3","B0758D65V3","69.16","7.03","5.37","17.31","42.89","21.34","7days"
"nature purify dry fruits combo pack","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","1467","B09995Z12L","B09995Z12L","6.92","2.19","1.24","26.92","43.34","0.00","7days"
"strawberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","1572","B079ZHJLL9","B07TM3FWH3","15.08","1.60","1.72","0.00","15.88","0.00","7days"
"tuti fruti","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","1671","B08HCLZ325","B0B4F5YRY5","7.98","0.21","0.17","0.00","81.48","0.00","7days"
"mixed dry fruits for plum cake","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","1688","B088LTN8G7","B0B4DPJ9C3","16.45","3.50","5.25","0.00","44.94","0.00","7days"
"dried orange peel","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","1727","B0792CYL43","B079QLDJT8","0.97","3.38","3.13","0.00","3.31","0.00","7days"
"dry fruits for plum cake","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","1750","B08QJ5XTKC","B07LFJY8FP","14.80","4.55","9.25","0.00","40.00","0.00","7days"
"happilo fig","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","1808","B0758D65V3","B0758D65V3","20.92","9.60","7.46","14.00","37.16","17.41","7days"
"orange peel for cake baking","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","1913","B079QLDJT8","B079QLDJT8","0.62","0.00","0.52","0.00","9.55","0.00","7days"
"dried orange","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","1955","B079QLDJT8","B079QLDJT8","3.04","4.05","4.07","0.00","6.52","0.00","7days"
"dry fruit powder for adult","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","2037","B091FS3LTG","B091FS3LTG","0.07","0.00","2.68","0.00","8.95","0.00","7days"
"orange peel","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","2078","B079QLDJT8","B079QLDJT8","0.07","17.54","14.78","0.00","65.52","0.00","7days"
"dry fruits mix powder","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","2094","B07D8R1VBB","B0BBK2NWMS","0.38","1.85","6.54","0.00","0.68","0.00","7days"
"dried lemon","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","2119","B06XC2LD87","B09Z8MF2S7","0.07","0.62","1.19","0.00","1.96","0.00","7days"
"dry fruits powder for kids","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","2133","B07D8R1VBB","B081N3L7X9","0.29","1.35","3.85","0.00","8.99","0.00","7days"
"mixed dried fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","2156","B09Q69KT4H","B0BD255MXQ","19.00","35.98","33.96","21.85","24.88","0.00","7days"
"dry fruits kiwi","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","2233","B082DGRGHB","B07Q37RLT1","4.41","19.88","15.85","21.12","25.44","0.00","7days"
"nutraj dry fruits combo pack","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","2237","B07JN5QNSK","B08JZDG9CN","4.26","1.69","1.29","0.00","29.11","0.00","7days"
"dry ber","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","2322","B08X4Y2G66","B07GR2G678","1.10","0.75","2.86","0.00","21.30","0.00","7days"
"mixed dry fruits for christmas cake","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","2435","B08QJ5XTKC","B0B4DPJ9C3","3.51","1.44","2.39","0.00","30.11","0.00","7days"
"gourmia","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Dried Fruits","100-1K","2448","B074P1GL74","B07GR346FP","0.37","37.02","20.40","0.00","6.90","0.00","7days"
