"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"organic kashmiri berry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1-100","13684","B07GR2G678","B07GR2G678","11.11","0.00","0.00","0.00","0.00","2.81","7days"
"usa cranberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1-100","13749","B07G4F87SP","B07GR2G678","5.56","20.00","0.00","0.00","0.00","0.00","7days"
"blue bery","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1-100","13779","B01MCVLVC7","B0BC6FQDWB","10.65","28.57","26.87","0.00","100.00","0.00","7days"
"fruit berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1-100","13971","B0B69KXW9J","B08M5SSBHQ","11.72","0.00","0.00","0.00","35.90","0.00","7days"
"unsweetened+cranberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1-100","14045","B07GR2G678","B07GR2G678","5.19","0.00","0.00","0.00","23.33","0.00","7days"
"cranberry dry fruit happilo","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1-100","14482","B01LZ59BPM","B01LZ58JYF","45.38","80.00","60.87","15.69","24.14","0.00","7days"
"dry berries 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1-100","14521","B09Q95F8SH","B09S172X1M","5.16","0.00","0.00","0.00","0.00","0.00","7days"
"red berries dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1-100","14596","B01LXIWNMH","B07X7X8QH6","15.33","25.49","28.81","0.00","42.31","0.00","7days"
"raw cranberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1-100","14631","B08KZY5TYX","B09JBXCS3J","3.90","0.00","0.00","0.00","18.60","0.00","7days"
"frubert dried pruch without added sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1-100","14911","B08Y5YB3H6","B07GR8351K","15.00","15.00","0.00","0.00","0.00","0.00","7days"
"mixed berry dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1-100","14952","B07X7X8QH6","B07X7X8QH6","20.44","0.00","7.14","0.00","50.00","0.00","7days"
"charry mix","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1-100","15046","B09J595YC6","B099KNZ4QM","9.52","0.00","0.00","0.00","0.00","0.00","7days"
"sugar free dried fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1-100","15072","B08RC79MN2","B07TP8R5XF","8.78","6.67","8.70","0.00","57.14","0.00","7days"
"happilo dry fruits strawberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1-100","15116","B07Q8MPFDK","B07Q8MPFDK","66.41","100.00","0.00","0.00","0.00","0.00","7days"
"happy karma cranberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1-100","15135","B09ZJ66Z94","B09F3FKD9T","8.20","4.55","7.69","0.00","9.52","0.00","7days"
"dry berries without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1-100","15167","B08RC6K6G9","B07GR24VMV","7.41","15.38","11.76","0.00","30.77","0.00","7days"
"cranberrie","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1-100","15195","B01LZ59BPM","B096QWVY91","7.84","0.00","0.00","0.00","0.00","0.00","7days"
"happilo premium dried super mix berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1-100","15268","B01LXIWNMH","B01LZ59BPM","73.89","83.33","85.29","0.00","68.18","0.00","7days"
"9 berry mux dryfrut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1-100","15370","B09WRMXP9Z","B09WRMXP9Z","10.00","0.00","0.00","0.00","0.00","0.00","7days"
"cranberry dry fruit unsweetened","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1-100","15504","B08RC79MN2","B07G4F87SP","4.00","0.00","3.57","0.00","25.00","0.00","7days"
