"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"tong garden sunflower seeds","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","100-1K","1451","B084Q6X2M3","B07Y85D6MR","0.84","1.98","1.71","0.00","2.13","0.00","7days"
"neuherbs sunflower seeds","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","100-1K","3112","B07R61Z6F2","B07R61Z6F2","0.24","0.00","0.00","0.00","0.00","0.00","7days"
"sft sunflower seeds","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Sunflower Seeds","1-100","9459","B082977JXW","B082973BLD","0.50","0.00","0.00","0.00","0.00","0.00","7days"
