"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"kimia gold dates buy 1 get 1 free","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","2663","B09LZ35QBK","B08ZYFJFMR","3.30","0.00","2.19","0.00","28.38","0.00","7days"
"date crown fard","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","2690","B008MEITOK","B077FXXBM6","16.17","36.20","29.96","8.81","40.71","0.00","7days"
"lion date","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","2797","B01B1IDRKO","B0B7DPDKLN","11.89","4.96","5.16","0.00","37.56","0.00","7days"
"sft dry dates","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","2820","B0897BTL2P","B086ZVSGVX","9.15","6.98","5.59","0.00","30.77","0.00","7days"
"lion desert king dates","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","2920","B0BFFG55P4","B0B7DPDKLN","11.54","10.45","7.57","0.00","26.43","0.00","7days"
"original kimia dates 500gm","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","2951","B08DWD9BGQ","B0758JN85Y","5.81","58.00","45.00","0.00","28.74","0.00","7days"
"lagom seedless dates","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","3151","B099WFJZR1","B099WFJZR1","0.71","0.00","0.00","0.00","5.45","0.00","7days"
"lion seedless dates","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","3339","B08DP1PJBD","B0B6VHRF2X","6.32","16.26","11.70","0.00","17.83","0.00","7days"
"asra kimia dates","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","1-100","3425","B072MSCP5N","B085NTZMVR","4.91","3.10","2.68","0.00","27.74","0.00","7days"
"lion dates desert king","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","1-100","3588","B0BFFG55P4","B0B6VHRF2X","9.78","1.06","1.85","0.00","12.16","0.00","7days"
"dates kimia original","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","1-100","3908","B08L13NBMR","B099WFJZR1","7.36","31.91","29.09","5.50","20.66","0.00","7days"
"kimia dates 500gm original","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","1-100","4009","B07HJBSQZH","B084885G2J","0.00","47.22","38.39","0.00","19.70","0.00","7days"
"original kimia dates","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","1-100","4056","B08L13NBMR","B07VYSM1D5","8.74","30.71","24.04","11.64","33.73","0.00","7days"
"dates kimia 500 grams","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","1-100","4073","B08L13NBMR","B08LNTJM9Z","4.44","33.10","28.36","0.00","30.91","24.96","7days"
"lion dates black","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","1-100","4116","B078MG47TW","B0B6VHRF2X","5.93","1.10","1.07","0.00","12.02","0.00","7days"
"dates lion 1kg offer buy 1 get 1","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","1-100","4292","B08CR5CQX3","B0B6VHRF2X","5.91","5.31","4.51","0.00","28.91","9.30","7days"
"kimia khajoor","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","1-100","4898","B08L13NBMR","B0758JN85Y","5.97","17.28","13.86","0.00","22.50","0.00","7days"
"kimia date","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","1-100","4926","B08NF88731","B084885G2J","11.24","21.50","19.85","0.00","37.42","0.00","7days"
"lion delicacy dates","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","1-100","5016","B0B7DPDKLN","B0B2DCVMMP","1.14","0.00","0.00","0.00","14.38","0.00","7days"
"sft dates","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","1-100","5036","B075X38QVC","B09P3YK2RP","9.13","7.89","7.50","0.00","27.27","0.00","7days"
"lion desert king dates 1kg pack","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","1-100","5193","B0BFFG55P4","B0B7DPDKLN","10.19","0.00","0.00","0.00","35.44","0.00","7days"
"khajur lion brand","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Dates","1-100","5232","B096ZFNK2D","B096ZFNK2D","9.81","7.32","7.25","0.00","31.40","0.00","7days"
