"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"chuhara","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","1K-5K","395","B07P39BCWF","B08TBZGVZJ","11.07","0.00","0.00","0.00","33.39","0.00","7days"
"kharik","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","1K-5K","398","B07P4DPS2Y","B08TBZGVZJ","10.16","12.66","10.75","0.00","27.79","0.00","7days"
"medjoul dates 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","1K-5K","424","B079PYZHQQ","B01FQVXX88","0.56","0.00","0.75","5.23","20.67","0.00","7days"
"safawi dates","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","1K-5K","430","B09138DSTJ","B09995PQPV","0.49","1.28","1.78","0.00","6.42","0.00","7days"
"black dates 1kg offer buy 1 get 1","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","1K-5K","432","B072MSCP5N","B096ZFNK2D","5.73","14.84","15.42","0.00","24.74","0.00","7days"
"khejur","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","1K-5K","433","B077FXXBM6","B084885G2J","13.17","44.24","31.29","100.37","20.30","0.00","7days"
"medjoul dates 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","458","B095199R3W","B01FQVXX88","0.38","0.00","0.33","0.00","7.83","0.00","7days"
"dry dates 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","466","B09MKCC2VB","B0758JN85Y","11.27","34.01","28.51","132.84","29.83","0.00","7days"
"medjoul dates","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","485","B079PYZHQQ","B08J7ZMM1L","0.07","0.00","0.00","0.00","0.00","0.00","7days"
"black dates 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","520","B083557PX5","B096ZFNK2D","1.69","37.92","27.60","56.57","18.93","0.00","7days"
"flyberry dates","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","549","B08JD49NW1","B0191AT0UA","0.18","0.00","0.00","0.00","10.06","0.00","7days"
"organic dates","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Dates","100-1K","570","B08VJFJ6T4","B08JCZ96TL","1.42","1.97","2.37","0.00","11.75","3.00","7days"
