"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"dry fruits combo pack","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","10K-50K","26","B08P1FLDB8","B08JZDG9CN","11.34","6.11","5.59","34.92","35.58","0.00","7days"
"amazon food","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","10K-50K","28","B07GQNQNJG","B0015U9P3M","0.17","1.72","1.70","0.00","2.18","0.00","7days"
"dry fruits gift pack","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","10K-50K","39","B08P1FLDB8","B0BBDP8GR2","5.95","1.56","1.97","0.00","39.09","69.99","7days"
"seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","10K-50K","47","B07J3BSNJ4","B07WSCRMXT","0.69","0.14","0.57","34.06","2.32","9.23","7days"
"nuts and dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","10K-50K","54","B01LY6B085","B08JZDG9CN","23.78","24.96","21.85","22.62","33.19","69.01","7days"
"hazelnut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","10K-50K","56","B01N9QN5M1","B09G9Y2RVF","0.07","0.00","0.00","0.00","0.11","0.00","7days"
"mixed dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","10K-50K","70","B01LY6B085","B01LY6B085","16.97","27.71","32.22","35.72","40.85","21.43","7days"
"seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","5K-10K","79","B0851L15DR","B09K3X87Q7","2.35","0.00","0.00","0.00","0.00","0.00","7days"
"dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","5K-10K","94","B08P1FLDB8","B08JZDG9CN","32.90","8.92","11.41","23.14","38.11","24.05","7days"
"mix dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","5K-10K","98","B0BHJDKLKK","B01LY6B085","6.23","34.10","30.07","34.01","29.26","67.02","7days"
"grocery items all","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","5K-10K","103","B084884GKX","B073XRDYT3","56.86","8.97","10.07","0.00","6.33","8.41","7days"
"dry fruits mix","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","5K-10K","112","B01LY6B085","B01LY6B085","9.02","28.56","31.19","51.79","21.73","134.76","7days"
"mix seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","5K-10K","124","B082SWR3GS","B09RSQH1Y6","0.88","2.29","2.31","89.29","6.15","0.00","7days"
"mix dry fruits and nuts 1kg offer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","5K-10K","128","B09RRPDBLV","B09WRMXP9Z","9.37","33.94","28.94","46.12","43.06","0.00","7days"
"anjir price 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","142","B0B362KPCF","B09TJMVMLW","1.54","2.76","2.12","0.00","5.38","0.00","7days"
"snacks","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","184","B08WRCY1T5","B0B5LVHCH9","17.45","2.39","2.19","38.19","3.93","0.00","7days"
"amazon brand - vedaka","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","185","B07GQRWYNP","B07GR82XJR","1.00","1.30","1.07","0.00","2.73","3.90","7days"
"mixed seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","193","B082SWR3GS","B098K96F4W","0.98","1.06","1.63","0.00","5.10","0.00","7days"
"hemp seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","199","B099WCGLG3","B0851L15DR","0.25","0.49","0.76","0.00","0.62","0.00","7days"
