"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"almond 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1K-5K","359","B08HKTJMVS","B0758JYQVL","19.42","45.79","41.63","33.05","62.33","24.48","7days"
"almonds 500gm offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1K-5K","362","B06X6GSBMR","B084884GKX","19.08","40.31","36.09","20.97","61.46","21.93","7days"
"1kg+of+almonds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1K-5K","377","B0B1WTLDWN","B0992KMQYL","21.04","27.73","25.52","148.73","57.35","0.00","7days"
"smoked almond","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1K-5K","385","B09GWH5XXD","B09WRMDZ3G","4.25","22.15","20.37","0.00","34.36","0.00","7days"
"your orders details in amazon","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1K-5K","418","B09RQQXLGJ","B096TSSMXL","8.17","0.00","0.00","0.00","77.91","0.00","7days"
"salted almonds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1K-5K","419","B01LYTLO7H","B09R9RQB89","17.00","35.68","33.75","19.28","50.11","22.79","7days"
"apricot dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1K-5K","425","B082DGW7DF","B0758JJ2ST","21.02","7.41","5.63","3.08","26.06","0.00","7days"
"almonds 500gms","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1K-5K","435","B084884GKX","B084884GKX","17.47","33.75","27.92","15.33","24.94","0.00","7days"
"almond flakes","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1K-5K","449","B0B2MT8MXQ","B014USKG24","6.95","5.07","5.08","0.00","44.10","0.00","7days"
"zoff almonds 250 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","1K-5K","451","B0992KMQYL","B0992KMQYL","25.93","24.33","21.80","22.42","63.60","0.00","7days"
"gurbandi badam 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","454","B075MGHBLW","B0BJ79J245","9.51","4.88","6.05","0.00","21.45","0.00","7days"
"mamra almond","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","459","B08ZL3V2QN","B09RZY8KGY","7.74","6.10","6.54","0.00","26.08","0.00","7days"
"ground nuts 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","475","B07KXGFGSS","B07KXGFGSS","0.37","0.19","0.14","0.00","3.12","0.00","7days"
"almonds 1 kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","483","B07GQNM6N2","B0992KMQYL","11.38","42.93","37.26","10.93","45.50","16.32","7days"
"roasted almonds salted","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","489","B01LYTLO7H","B09WRMDZ3G","12.00","20.19","22.05","37.71","35.66","0.00","7days"
"organic almonds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","490","B08JM2SGB6","B0992KMQYL","11.72","31.24","27.21","23.67","49.53","0.00","7days"
"california almonds 500gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","495","B084884GKX","B084884GKX","20.79","32.73","31.78","33.81","62.45","44.13","7days"
"badam 1 kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","501","B0992KMQYL","B0992KMQYL","19.22","46.22","39.39","19.99","61.87","8.58","7days"
"almond 1_kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","514","B0992KMQYL","B0992KMQYL","14.78","32.04","28.91","12.73","50.09","41.55","7days"
"salted almonds roasted","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","533","B01LYTLO7H","B09WRMDZ3G","16.38","33.77","30.93","43.57","47.00","0.00","7days"
"badam pisin","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","537","B08B4GW54N","B0BM9RW1LR","5.05","27.54","24.12","0.00","14.82","0.00","7days"
"sugar badam","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","542","B09MTM3V27","B08PBB42F9","4.35","1.06","1.10","0.00","21.68","0.00","7days"
"mamra+almond","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","558","B075Q6FTL6","B09NFMJLYQ","4.41","1.13","1.07","0.00","20.82","0.00","7days"
"amazon pantry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","574","B01LZ5DPXD","B095X7WZVD","52.08","0.46","1.02","0.00","32.56","0.00","7days"
"zoff dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","594","B0B9N5TJM5","B08JZDG9CN","9.64","17.56","13.85","0.00","44.63","0.00","7days"
"almonds 1kg pack","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","601","B0992KMQYL","B0992KMQYL","20.01","30.67","28.01","13.95","54.70","0.62","7days"
"sugar badam for diabetes","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","613","B07FF6JBCG","B08PBLRMCZ","3.33","1.37","1.93","0.00","22.74","0.00","7days"
"mamra badam 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","619","B08TTW8PQZ","B09NFMJLYQ","14.77","8.07","7.89","7.66","45.37","0.00","7days"
"1kg almond","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","621","B0992KMQYL","B0992KMQYL","12.55","29.79","26.40","46.75","46.19","0.00","7days"
"happilo almond","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","637","B01LY6B08A","B084884GKX","74.91","66.23","63.00","14.39","62.47","54.73","7days"
"gurbandi almonds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","646","B09NFLNMRK","B09NFLNMRK","8.58","5.13","6.09","0.00","37.58","0.00","7days"
"badam 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","656","B0992KMQYL","B0992KMQYL","15.88","32.33","27.60","14.79","49.71","0.00","7days"
"mamra badam 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","682","B0B1WTLDWN","B099F7ZBWK","11.60","17.26","13.47","0.00","24.01","0.00","7days"
"almonds 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","683","B084884GKX","B084884GKX","18.47","50.77","48.87","37.10","57.41","33.88","7days"
"grocery items all offers today low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","700","B084884GKX","B0851L15DR","48.70","1.75","1.13","0.00","7.30","0.00","7days"
"almonds 100gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","712","B07GQZ7ZTZ","B09BFQJ14Z","10.42","22.08","19.42","31.38","42.38","0.00","7days"
"pecan","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","720","B07XLJ6QVB","B08Y784JCW","3.25","0.62","0.47","0.00","31.39","0.00","7days"
"california almond 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","734","B0992KMQYL","B0992KMQYL","23.04","41.94","33.84","18.58","57.13","0.00","7days"
"kharik dry fruits 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","736","B075X38QVC","B08TBZGVZJ","4.87","0.78","0.85","0.00","32.03","0.00","7days"
"happilo almonds 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","751","B0992KMQYL","B0992KMQYL","64.08","49.06","47.81","7.02","62.09","28.62","7days"
"dry fruits almonds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","769","B01LY6B08A","B084884GKX","21.52","36.27","30.73","19.59","50.90","0.00","7days"
"mamra giri","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","815","B073SV86PJ","B09K5RK1JW","11.49","10.38","9.80","0.00","43.23","0.00","7days"
"almond mamra","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","822","B08ZL3V2QN","B08ZL3V2QN","7.51","17.47","14.31","0.00","42.79","0.00","7days"
"nuts combo pack offer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","827","B08P1FLDB8","B09VZ446DR","18.30","3.87","2.97","0.00","23.30","0.00","7days"
"athipalam dry fruits 1kg offer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","830","B08H2FHXQN","B08JZDG9CN","15.69","19.32","21.58","0.00","47.42","0.00","7days"
"almond 200gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","834","B0B2D6P9NK","B01LY6B08A","19.00","37.88","33.08","10.29","59.29","29.63","7days"
"offers today low price all items","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","897","B09HQ25NNR","B0B5V9LHY1","11.44","6.10","5.10","0.00","9.54","0.00","7days"
"badam 100 grams","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","899","B07GQZ7ZTZ","B07GQNLYBN","19.53","25.48","25.41","14.97","53.08","0.00","7days"
"mamra badam 250 gram","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","909","B073SV86PJ","B09NFMJLYQ","15.59","0.56","0.86","0.00","53.76","0.00","7days"
"best sellers","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","915","B0B3JMJ6MD","B0BHQT3Z6X","4.48","0.58","0.46","0.00","50.28","0.00","7days"
"badam 500g offers","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","920","B084884GKX","B084884GKX","19.11","29.62","28.20","17.91","55.28","0.00","7days"
"almond 1kg offers low price","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","941","B0992KMQYL","B0992KMQYL","19.79","20.37","17.38","83.21","51.12","0.00","7days"
"kadwa badam","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","946","B07VZ14PX6","B08PB9MFY6","5.12","3.44","3.88","0.00","25.77","0.00","7days"
"kadwa badam diabetes","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","947","B07VZ14PX6","B08DM2ZPZZ","4.00","2.71","3.19","0.00","16.46","0.00","7days"
"smoked almonds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","957","B09GWH5XXD","B09WRMDZ3G","5.08","26.58","25.24","0.00","32.24","0.00","7days"
"amond dry food","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","961","B06X6GSBMR","B084884GKX","23.44","19.53","17.75","19.87","44.69","2.73","7days"
"1 kg almonds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","962","B0B3954NJ4","B0992KMQYL","16.10","47.93","40.00","13.59","54.29","9.54","7days"
"tata almonds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","964","B09GNV7YZM","B09GNV7YZM","14.61","10.35","11.28","0.00","45.02","0.00","7days"
"almond 100gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","983","B07GQZ7ZTZ","B09BFQJ14Z","8.07","26.50","23.17","2.69","42.09","4.71","7days"
"badam 100gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","990","B07GQZ7ZTZ","B01LY6B08A","12.90","26.39","25.34","44.78","40.30","0.00","7days"
"vedaka almonds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","1003","B07GQNLYBN","B07GQNM6N2","8.36","34.49","34.09","8.51","43.77","0.00","7days"
"happilo almonds 500g","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","1013","B084884GKX","B084884GKX","76.54","51.43","51.54","8.16","60.85","0.00","7days"
"kashmiri almonds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","1023","B09PDT5RMF","B084884GKX","14.88","39.11","36.68","86.63","56.89","0.00","7days"
"almonds mamra","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","1035","B073SV86PJ","B08ZL3V2QN","6.50","24.79","20.38","12.95","38.60","0.00","7days"
"mamra giri badam","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","1056","B073SV86PJ","B08ZL462YY","5.01","8.02","7.06","0.00","34.87","0.00","7days"
"dry fruits slicer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","1068","B0BBFPWZPB","B09RJ2X7WC","0.23","0.00","0.00","0.00","14.04","0.00","7days"
"happilo badam","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","1076","B01LY6B08A","B084884GKX","74.25","46.94","45.49","30.19","56.59","4.52","7days"
"california almond","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Almonds","100-1K","1077","B01LY6B08A","B0992KMQYL","23.07","27.82","26.73","16.77","60.54","0.00","7days"
