"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"cranberry dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","10K-50K","64","B08RC79MN2","B07GQS1669","10.29","1.60","2.92","0.00","28.45","32.38","7days"
"cranberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","10K-50K","69","B07512GYB9","B07GR2G678","10.26","3.92","4.63","1.42","24.92","113.63","7days"
"berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","5K-10K","97","B01LXIWNMH","B07X7X8QH6","14.60","22.39","19.12","49.92","29.99","9.65","7days"
"strawberry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","5K-10K","98","B07BG51WR1","B08M5SSBHQ","8.57","23.47","20.38","52.65","6.19","0.00","7days"
"berries mix","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","160","B01LXIWNMH","B07X7X8QH6","9.64","1.53","3.17","14.72","27.28","56.44","7days"
"dried berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","202","B01LXIWNMH","B07X7X8QH6","13.92","6.68","7.39","0.00","24.83","35.94","7days"
"cherry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","240","B09SLMC356","B08ZDDQS4T","7.38","13.87","9.60","0.00","11.11","0.00","7days"
"mixed berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","262","B01LXIWNMH","B07X7X8QH6","10.38","21.37","19.31","110.08","29.11","61.04","7days"
"cranberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","265","B08RC79MN2","B07GR2G678","11.90","3.95","5.31","14.51","39.58","29.32","7days"
"berry mix","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","303","B01LXIWNMH","B07X7X8QH6","8.94","7.45","8.52","44.15","28.22","30.81","7days"
"cranberry dry fruit without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","304","B08RC79MN2","B07GR2G678","4.30","0.68","0.97","0.00","20.76","22.27","7days"
"dried blueberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","320","B01MCVLVC7","B07GQWST7K","13.40","2.10","1.94","4.33","35.13","0.00","7days"
"dried cranberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","331","B07512GYB9","B07GR24VMV","10.22","2.51","3.71","0.00","29.80","0.00","7days"
"berry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","352","B01LXIWNMH","B07X7X8QH6","15.78","20.33","16.79","0.00","26.80","0.00","7days"
"plum cake dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","403","B08QJ5XTKC","B07LFJY8FP","9.90","0.05","0.41","0.00","19.08","0.00","7days"
"frozen berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","404","B08WLZFLXD","B07X7X8QH6","15.72","6.44","5.15","0.00","24.76","0.00","7days"
"dried strawberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","408","B082DG752C","B08M5SSBHQ","13.17","11.08","9.88","0.00","40.27","0.00","7days"
"dry berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","431","B01LXIWNMH","B07X7X8QH6","17.52","14.50","13.09","58.46","43.60","34.12","7days"
"blue berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","440","B01MCVLVC7","B08X1XR72D","14.97","8.42","7.90","0.00","45.36","23.73","7days"
"cranberries dried without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","456","B08RS69XTJ","B07GR2G678","6.25","2.57","3.93","0.00","19.39","0.00","7days"
"dried cranberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","464","B07512GYB9","B07GR2G678","11.24","2.31","2.33","0.00","31.45","0.00","7days"
"mix berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","465","B01LXIWNMH","B09LD3ZB96","11.44","4.40","7.24","28.19","32.08","26.11","7days"
"dried cranberries without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","528","B08RS69XTJ","B07GR2G678","9.42","3.60","4.88","0.00","21.76","9.29","7days"
"mulberry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","636","B08R15D9PZ","B07D36QMLD","12.77","2.61","2.35","0.00","8.61","0.00","7days"
"berries mix without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","652","B09PJBJQN5","B07X7X8QH6","9.67","6.50","9.65","0.00","25.67","50.11","7days"
"dehydrated fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","695","B08WPP66FX","B07GR24VMV","17.88","3.39","3.65","0.00","53.85","82.19","7days"
"dry fruits for plum cake","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","737","B08QJ5XTKC","B07LFJY8FP","14.99","13.80","12.61","0.00","35.64","14.78","7days"
"dried blueberry without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","784","B08ZDDHWFT","B08RP86P5C","7.65","0.37","0.30","0.00","29.51","26.64","7days"
"dried berries without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","797","B07X7X8QH6","B07X7X8QH6","8.03","0.74","2.61","0.00","27.97","0.00","7days"
"mixed berries dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","806","B01LXIWNMH","B09LD3ZB96","24.26","7.47","7.30","42.19","55.40","0.00","7days"
"canberrys","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","810","B01HBRC0H0","B07GR2G678","18.15","14.76","13.61","0.00","43.03","0.00","7days"
"canberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","813","B07512GYB9","B07GR2G678","11.64","13.34","12.76","0.00","32.19","0.00","7days"
"strawberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","851","B07BG51WR1","B08M5SSBHQ","19.54","5.54","7.30","0.00","41.10","0.00","7days"
"dry cranberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","861","B08RC79MN2","B07GR2G678","15.91","2.92","4.22","0.00","50.48","0.00","7days"
"dry blueberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","887","B01MCVLVC7","B08RP86P5C","12.34","9.05","9.97","0.00","43.33","0.00","7days"
"black berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","897","B09MFQPH4Q","B07X7X8QH6","12.99","6.45","7.34","1.08","26.23","0.00","7days"
"berries dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","898","B01LXIWNMH","B09LD3ZB96","15.20","7.55","9.45","19.56","35.78","0.00","7days"
"mix berries without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","899","B08WLZFLXD","B07X7X8QH6","8.89","13.14","13.49","0.00","34.90","0.00","7days"
"mixed berries without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","980","B08WLZFLXD","B07X7X8QH6","9.51","24.30","24.24","17.19","37.06","25.21","7days"
"frozen blueberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","991","B00OOHSW3C","B08RP86P5C","18.08","6.31","7.07","0.00","41.28","0.00","7days"
"blackberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1011","B08Y5LPV22","B07GR24VMV","7.28","8.80","7.63","0.00","42.03","0.00","7days"
"strawberry fruits fresh to eat","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1018","B07BG51WR1","B0758J9P77","12.22","95.29","91.01","0.00","5.19","0.00","7days"
"cranberry dried","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1038","B07GR2G678","B07GR2G678","23.79","24.16","24.22","18.19","33.00","0.00","7days"
"canberry fruits dry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1069","B07512GYB9","B07GR2G678","11.30","0.00","0.00","0.00","0.00","0.00","7days"
"frozen strawberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1087","B01MZF6ALC","B07TM3FWH3","13.62","0.79","1.33","0.00","40.70","0.00","7days"
"rostaa dry fruits","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1096","B00OOHSTI0","B07WBY2FDQ","13.98","16.04","13.14","0.56","42.11","0.00","7days"
"dried fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1165","B09SLPNMYC","B099KNZ4QM","21.19","12.41","8.97","0.00","49.50","0.00","7days"
"blackberry dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1228","B0B2LMH2TD","B09SQDQ4RB","11.02","2.80","2.42","0.00","41.23","0.00","7days"
"dry berries mix without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1241","B09PJBJQN5","B081Z893TM","9.73","7.44","10.34","0.00","30.62","0.00","7days"
"canbarriers fruit dry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1257","B07G4F87SP","B07GR24VMV","11.22","5.46","7.66","0.00","31.25","0.00","7days"
"dried blackberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1268","B0BBXTK1SS","B07GR24VMV","13.51","2.01","1.76","0.00","53.78","0.00","7days"
"frozen fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1277","B01LXIWNMH","B08LSDY5B5","16.74","23.22","20.11","16.44","53.89","0.00","7days"
"mixed dry fruits for christmas cake","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1286","B07SYLJFZ6","B0B4DPJ9C3","19.53","2.14","2.47","0.00","37.60","0.00","7days"
"frozen berries for smoothies","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1300","B01LXIWNMH","B077FF8VGJ","15.42","13.62","9.92","0.00","19.96","2.84","7days"
"cranberries dried","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1351","B07512GYB9","B07GR2G678","10.16","3.54","4.75","0.00","39.01","0.00","7days"
"happilo berries mix","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1362","B0758J9P5T","B01LXIWNMH","62.19","57.54","50.17","8.62","32.88","0.00","7days"
"unsweetened cranberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1454","B09SWWRG6V","B07GR2G678","8.85","6.23","6.60","0.00","23.48","0.00","7days"
"dry fruits for cake making","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1460","B096K1L9LL","B07X7X8QH6","17.47","10.20","8.76","0.00","41.98","0.00","7days"
"candied fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1462","B07SYLJFZ6","B01NB0IDLL","28.75","11.42","9.73","0.00","61.66","6.79","7days"
"strawberries fruits fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1523","B07BG51WR1","B08M5SSBHQ","18.45","8.20","8.62","0.00","30.94","0.00","7days"
"cranberry 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1546","B07CM6SVP1","B07GR8351K","6.57","1.55","1.44","0.00","23.90","0.00","7days"
"masala cranberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1556","B09RV1TST5","B08CHL2KHG","6.91","0.00","0.72","0.00","36.46","0.00","7days"
"happilo cranberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1571","B01LZ58JYF","B01LZ59BPM","39.68","62.80","59.90","12.01","60.36","0.00","7days"
"cranberry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1593","B08RC79MN2","B07GR2G678","12.57","2.62","2.86","0.00","32.60","0.00","7days"
"dried cranberries and blueberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1604","B0B3S3RL93","B096QWVY91","14.22","14.81","11.55","0.00","37.36","0.00","7days"
"can berry dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1646","B01LZ59BPM","B07GQS1669","18.42","4.25","5.48","3.11","33.33","0.00","7days"
"raspberry dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1685","B0966XW7QM","B0B4DPJ9C3","18.16","12.76","13.62","0.00","37.22","0.00","7days"
"blueberry dried","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1697","B018IB47IS","B07GR24VMZ","21.91","14.60","13.07","1.04","26.52","0.00","7days"
"tooty fruity","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1708","B08HCLZ325","B0B9XP7CJQ","4.80","0.00","0.00","0.00","45.18","0.00","7days"
"cranberries 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1710","B07CM6SVP1","B07GQS1669","11.30","1.09","1.11","0.00","40.86","0.00","7days"
"berry dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1757","B01HBRC0H0","B07X7X8QH6","11.89","4.69","5.46","0.00","42.28","0.00","7days"
"dried berries mix","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1760","B08WLZFLXD","B07X7X8QH6","15.27","6.77","8.28","0.00","36.26","5.61","7days"
"dry mix fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1788","B0974SDFX7","B08JTBYKDW","18.43","9.38","9.72","0.00","52.44","0.00","7days"
"dry cherry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1791","B09SLMC356","B08ZDDQS4T","18.98","8.30","8.19","0.00","45.43","4.07","7days"
"berries in fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1799","B01MCVLVC7","B07GR2G678","27.50","29.44","28.72","0.00","6.19","0.00","7days"
"blackberry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1807","B097ZTYMJD","B0B4B8B6JQ","9.45","4.58","4.57","0.00","30.57","11.64","7days"
"cranberry powder","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1832","B076C1P8ZR","B09S18DTH3","3.02","0.83","1.05","0.00","5.66","0.00","7days"
"dried raspberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1844","B0966XW7QM","B07GR2G678","17.40","8.73","8.75","0.00","41.07","0.00","7days"
"fruit mix","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1881","B09LD3ZB96","B07X7X8QH6","24.95","14.06","12.43","2.74","59.33","0.00","7days"
"red berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1910","B0BLKZ7RR4","B0BLKZ7RR4","10.99","1.27","1.32","0.00","18.52","0.00","7days"
"rasberries dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1932","B0966XW7QM","B01M04G25G","19.21","31.36","30.77","0.00","45.45","13.95","7days"
"raspberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1946","B0966XW7QM","B07GQS1669","8.01","5.81","4.84","0.00","42.47","0.00","7days"
"black berries dry fruit 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1956","B09MFQPH4Q","B07X7X8QH6","9.37","0.00","0.41","0.00","35.39","0.00","7days"
"mix berry dry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1962","B07SYLJFZ6","B07X7X8QH6","13.79","8.59","8.79","0.00","52.05","0.00","7days"
"berries and seeds mix","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1978","B09P9Y4XRD","B09WHVN3TW","4.15","3.82","4.55","0.00","26.57","0.00","7days"
"rasberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","1998","B08WCP7VM4","B07GR2G678","18.41","4.80","5.28","0.00","39.88","0.00","7days"
"mixed dried fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","2049","B08QJ5XTKC","B07T1RN9T6","19.33","34.51","29.31","0.00","27.27","0.00","7days"
"dry fruits berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","2089","B01LXIWNMH","B07X7X8QH6","15.06","15.28","13.18","0.00","38.75","0.00","7days"
"blue barriers","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","2109","B09MJ6K1RQ","B0B9SLYL47","9.24","0.00","0.00","0.00","37.50","3.22","7days"
"stoberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","2184","B08WCSYRWC","B07GR24VMV","4.08","20.18","18.19","0.00","10.16","0.00","7days"
"craneberry","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","2215","B01HBRC0H0","B07GR2G678","8.90","0.00","0.00","0.00","0.00","0.00","7days"
"berries without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","2217","B08ZDDHWFT","B07X7X8QH6","6.54","14.16","13.40","0.00","21.05","0.00","7days"
"raspberry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","2239","B094NSHB6T","B09LMDY21W","14.55","0.00","0.00","0.00","38.33","2.65","7days"
