"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"peanuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","10K-50K","28","B07KXGFGSS","B07KXGFGSS","0.01","0.02","0.02","0.00","3.31","0.00","7days"
"peanut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","10K-50K","35","B07KXGFGSS","B07KXGFGSS","0.01","0.03","0.03","0.00","2.91","0.00","7days"
"groundnut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","10K-50K","59","B00M57WJQ4","B07KXGFGSS","0.06","0.00","0.00","0.00","3.30","0.00","7days"
"fresh amazon fresh","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","5K-10K","126","B085NTZMVR","B08ZNPB44Y","9.28","1.48","3.59","0.00","6.21","0.00","7days"
"roasted peanuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","5K-10K","138","B09778XT2N","B071DJ8W7J","1.73","0.01","0.01","0.00","3.68","0.00","7days"
"ground nut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","186","B07MNFRFR3","B07KXGFGSS","3.85","0.00","0.00","0.00","6.59","0.00","7days"
"amazon fresh items","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","199","B084884GKX","B00M57WJQ4","21.23","2.48","12.10","27.04","20.60","0.00","7days"
"salted peanuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","211","B01HCYY3VS","B07VLHW1PW","2.14","0.00","0.04","0.00","5.18","0.00","7days"
"peanuts raw","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","241","B07KXGFGSS","B07KXGFGSS","1.47","0.00","0.00","0.00","4.66","0.00","7days"
"fresh amazon fresh store","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","248","B07KXGFGSS","B07H2FSSPQ","3.43","0.07","0.21","0.00","4.70","0.00","7days"
"peanut raw","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","261","B07MNFRFR3","B07KXGFGSS","4.09","0.00","0.00","0.00","4.93","0.00","7days"
"raw peanuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","284","B07KXGFGSS","B07KXGFGSS","0.50","0.07","0.06","0.00","4.82","0.00","7days"
"tong garden","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","292","B00M7TFH3W","B09P222TPN","33.00","0.00","0.00","3.53","10.63","0.00","7days"
"jabsons peanuts","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","328","B00ILIBKXY","B096NRGMCC","0.20","0.00","0.00","0.00","0.58","0.00","7days"
"moongfali","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","373","B07KXGFGSS","B07KXGFGSS","0.00","0.04","0.03","0.00","4.72","0.00","7days"
"peanuts 1_kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","386","B07KXGFGSS","B07KXGFGSS","0.18","0.00","0.00","0.00","0.00","0.00","7days"
"raw peanut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","394","B07MNFRFR3","B07KXGFGSS","1.30","0.09","0.08","0.00","4.87","0.00","7days"
"groundnut 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","1K-5K","495","B07KXGFGSS","B07KXGFGSS","0.19","0.00","0.00","0.00","0.00","0.00","7days"
"mungfali","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","550","B09MDBTMT8","B07KXGFGSS","0.01","0.00","0.00","0.00","0.00","0.00","7days"
"organic peanut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","562","B00M57WJQ4","B00M57WJQ4","0.30","0.00","0.00","0.00","0.00","0.00","7days"
"mungfali dana 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","572","B07KXGFGSS","B07KXGFGSS","0.09","0.05","0.04","0.00","9.88","0.00","7days"
"pallilu 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","578","B08C2P8L95","B07KXGFGSS","0.10","0.00","0.00","0.00","3.34","0.00","7days"
"peanuts roasted salted","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","609","B07VLHW1PW","B0B8ZGTCBX","1.06","0.00","0.00","0.00","0.00","0.00","7days"
"salted peanut","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","613","B01HCYY3VS","B07VLHW1PW","7.96","0.08","0.07","0.00","8.96","0.00","7days"
"amazon fresh grocery","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","658","B01LPY9PHI","B0992KMQYL","5.36","26.95","20.74","20.79","11.71","0.00","7days"
"tong garden peanuts","COMPETITOR","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","662","B00M7TFH3W","B0B5Y4W92R","22.48","0.00","0.00","0.00","4.29","0.00","7days"
"roasted peanuts salted","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","687","B07VLHW1PW","B0B5Y4W92R","3.32","0.00","0.00","0.00","5.99","0.00","7days"
"peanuts 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","691","B07KXGFGSS","B07KXGFGSS","0.14","0.06","0.05","0.00","3.96","0.00","7days"
"peanuts roasted","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Peanuts","100-1K","763","B092RGD6VV","B07KXGFGSS","0.40","0.28","0.23","0.00","3.40","0.00","7days"
